cod_articulo_magic,desc_articulo
79962,ETIQUETA CIFRUT MORA 300 ML SAL 3 2024
306622,JARABE DE TE  NEGRO LIMON HOT FILL 25% RED
25942,BASE DE BEBIDA REHIDRATANTE LIMA LIMON BR-60003/1U
26205,BASE DE BEBIDA TROPICAL PUNCH BF-MX-70023/1U
27117,BOTELLA SOPLADA-ETIQUETADA DE FIRST MANZANA 620 ML $ 4 (PT)
27175,BASE DE BEBIDA FRUIT PUNCH BF-MX-80049/1U
27450,BASE DE BEBIDA GASIFICADA TORONJA BG-MX-80055/1U
27959,BASE DE BEBIDA GASIFICADA FIRST NARANJA BG-MX-80057/4U
30776,BASE DE BEBIDA CITRUS PUNCH BF-MX-90081/1U PT...
35292,BASE DE BEBIDA GASIFICADA BIG FRESH MANZANA ROJA BG-MX-008/2U
35573,BASE DE BEBIDA UVA BB-MX-100134/4U
7175,JARABE TERMINADO COLA
7176,JARABE TERMINADO TORONJA
13044,JARABE TERMINADO MANZANA ROJA
36069,BASE DE BEBIDA GASIFICADA BIG FRESH TUTTI FRUTTI BG-MX-100142/2U
36071,BASE DE BEBIDA GASIFICADA AURRERA BIG FRESH LIMA LIMON BG-MX-100143/1.7U
36087,BASE DE BEBIDA GASIFICADA BIG FRESH TAMARINDO BG-MX-100151/1.7U
25397,JARABE TERMINADO BIG COUNTRY
25941,BASE DE BEBIDA GASIFICADA LIGHT TORONJA BL-60002/4U
26418,BOTELLA SOPLADA-ETIQUETADA DE BIG COLA 620 ML S/P (PT)
26419,BOTELLA SOPLADA-ETIQUETADA DE BIG COLA 620 C/P (PT)
31384,BASE DE BEBIDA FRUIT PUNCH BF-MX-90088/1U (GUATEMALA)
31878,JARABE TERMINADO LIMA LIMON
33863,BASE DE BEBIDA ENERGY BT-MX-90104/1U PT
35085,BASE DE BEBIDA GASIFICADA BIG FRESH TAMARINDO BG-MX-002/2U
35297,BASE DE BEBIDA GASIFICADA BIG FRESH TAMARINDO BG-MX-013/4U (EXPORTACION)
35457,BASE DE BEBIDA GASIFICADA BIG CITRUS NARANJA BG-MX-015/1U
13608,AZUCAR LIQUIDA ESTANDAR - MATERIA PRIMA
36083,BASE DE BEBIDA GASIFICADA AURRERA BIG FRESH NARANJA BG-MX-100149/1.7U
36773,BASE DE BEBIDA BIG CITRUS JAMAICA FRESA LIMON BF-MX-018/1U
36825,JARABE TERMINADO TE PET
36834,JARABE TERMINADO LIMA-LIMON FRESH 35% FRUCTUOSA 65% EDULCORANTES PARA PET
36846,JARABE TERMINADO ORO
36860,JARABE TERMINADO TORONJA FRESH 35% FRUCTUOSA 65% EDULCORANTES CON JUGO DE MANZANA PARA LATA
37135,JARABE TERMINADO AGUA MINERAL PARA LATA
44704,BASE DE BEBIDA TROPICAL PUNCH BF-MX-110302/1U PT
44706,BASE DE BEBIDA ENERGY BE-MX-110303/1U MP
50019,JARABE TERMINADO NARANJADA AURRERA
50086,JARABE TERMINADO CITRUS CONGA
50430,JARABE TERMINADO NARANJA EXPORTACION
52510,BASE DE BEBIDA PI¥A  AURRERA BG-MX-045/2U MT
52512,BASE DE BEBIDA TUTTI FRUTTI AURRERA BG-MX-046/2U MT
36091,BASE DE BEBIDA NARANJA PUNCH BF-MX-100153/2U
36538,BASE DE BEBIDA CITRUS PUNCH BF-MX-100172/1U
36555,JARABE TERMINADO BIG CITRUS TORONJA EXTREMA
36830,JARABE TERMINADO MANZANA CLARA 35% FRUCTUOSA 65% EDULCORANTES CON JUGO DE MANZANA PARA PET
36837,JARABE TERMINADO NARANJA FRESH 35% FRUCTUOSA 65% EDULCORANTES CON JUGO DE MANZANA PARA PET
36841,JARABE TERMINADO MANZANA TETRAPAK
36854,JARABE TERMINADO MANZANA ROJA FRESH 35% FRUCTUOSA 65% EDULCORANTES CON JUGO DE MANZANA PARA LATA
37050,JARABE TERMINADO MANZANA ROJA FRESH EXPORTACION 100% FRUCTUOSA CON JUGO DE MANZANA PARA PET
53521,JARABE TERMINADO LIMA LIMON MAQUILAS MARZO 2014
53549,BASE DE BEBIDA NARANJADA BN-MX-054/1U MT
53687,JARABE TERMINADO NARANJADA MAQUILAS NF
53789,JARABE TERMINADO BIG PONCHE MARZO 2014
55586,BASE DE BEBIDA BIG TORONJA LIGHT  BG-MX-058/2U  PT
56905,JARABE TERMINADO BIG COLA NOVIEMBRE 2014
59982,COMPLEMENTO DE BASE DE BEBIDA BF-MX-150424/4U PT
68589,BASE DE BEBIDA COLA AURRERA BG-MX-065/4U
68615,BASE PARA BEBIDA PARA REFRESCO CITRUS PUNCH BG-MX-160477
68621,COMPLEMENTO BASE PARA BEBIDA JARABEADA CARBONATADA COLA BG-MX-160481/2U
68873,BASE PARA BEBIDA TE NEGRO LIMON BT-MX-170491
69313,BASE DE BEBIDA CARBONATADA COLA ZERO BG-MX-170510  (PARA MTY)
69515,BASE PARA TE NEGRO FRUTOS ROJOS BT-MX-170518
70055,BASE PARA BEBIDA CARBONATADA COLA 3B BG-MX-069/4U
70382,CONCENTRADO BASE PARA BEBIDA JARABEADA CARBONATADA COLA BG-MX-180534
70406,BASE PARA BEBIDA CARBONATADA COLA SIN AZUCAR BG-MX-180550 (AJE CAM)
70667,BASE PARA BEBIDA CARBONATADA NARANJA MY BRAND BG-MX-180543
37053,JARABE TERMINADO TUTTI FRUTTI EXPORTACION 100% FRUCTUOSA CON JUGO DE MANZANA PARA PET
37054,JARABE TERMINADO CITRUS NARANJA TETRAPAK
40452,BASE DE BEBIDA COLADO DE FRUTAS (MANZANA-DURAZNO-PERA) BC-MX-019/2U PT
40454,BASE DE BEBIDA COLADO DE FRUTAS Y VERDURAS (MANZANA-PERA-ZANAHORIA) BC-MX-020/2U PT
40853,JARABE TERMINADO MAQUILA CITRICOS PET
40951,JARABE TERMINADO MIXEADO COLADO DE FRUTAS CON COLADO DE FRUTAS Y VERDURAS
41370,JARABE TERMINADO TORONJA MAQUILA
45139,BASE DE BEBIDA COLADO DE FRUTAS Y VERDURAS MANZANA-ZANAHORIA-MANGO BC-MX-027/2U PT
70668,BASE PARA BEBIDA CARBONATADA COLA MY BRAND BG-MX-180544
70695,BASE PARA BEBIDA JARABEADA CARBONATADA COLA BG-MX-180546
70865,BASE PARA BEBIDA JARABEADA CARBONATADA PI¥A BG-MX-180574
70871,BASE PARA BEBIDA JARABEADA CARBONATADA MANZANITA BG-MX-180570
70873,BASE PARA BEBIDA JARABEADA CARBONATADA MANZANA BG-MX-180571
72428,BASE PARA BEBIDA JARABEADA CARBONATADA BANANA BG-MX-180589 / 1U
72610,BASE PARA BEBIDA JARABEADA CARBONATADA LIMONADA BG-MX-190619
72950,BASE PARA BEBIDA DE ARÁNDANO 72950
73044,BASE PARA BEBIDA CARBONATADA MANZANA 73044
73142,BASE PARA BEBIDA ENERGY YELLOW PLUS 73141 - PARTE 2
73170,BASE PARA BEBIDA ENERGY YELLOW SIN AZÚCAR 73169 - PARTE 2
73171,BASE PARA BEBIDA ENERGY YELLOW SIN AZÚCAR 73169 - PARTE 3
73189,BASE PARA BEBIDA CIFRUT UVA SIN AZÚCAR 73189
73280,BASE PARA BEBIDA VOLT YELLOW E 73280
73282,BASE PARA BEBIDA VOLT YELLOW E 73280 - PARTE 3
73374,BASE PARA BEBIDA ENERGY CAFÉ 73371 - PARTE 4
73679,BASE PARA BEBIDA DE NARANJA P 73676 - PARTE 4
73821,BASE PARA BEBIDA JARABEADA CARBONATADA MANZANA BG-MX-180594 CÓDIGO 73816 - PARTE 3
73873,BASE PARA BEBIDA DE DURAZNO FORTIFICADO 73872 - PARTE 2
74051,BASE PARA BEBIDA ENERGY BLUEBERRY 74048 - PARTE 4
74534,BASE PARA BEBIDA DE PERA P 74531 - PARTE 4
74547,BASE PARA BEBIDA DE PI¥A P 74546 - PARTE 2
74618,BASE PARA BEBIDA VOLT DARK 74616 - PARTE 3
75045,BASE PARA BEBIDA CARBONATADA MANZANA 75045
75050,BASE PARA BEBIDA CARBONATADA NARANJA 75050
