id_cliente;cod_articulo_magic
0000|1597327;517262
0000|1740576;517263
0000|1837594;522352
0000|1829807;517262
0000|1604698;599111
0000|1597131;517262
0000|1602385;517262
0000|1837590;522352
0000|1796430;517140
0000|1705924;517140
0000|1639144;800058
0000|1638646;599837
0000|1813262;522355
0000|1598830;522856
0000|1639143;517140
0000|1638648;517262
0000|1602285;517263
0000|1599482;517262
0000|1639149;598801
0000|1592476;522632
0000|1596125;517263
0000|1590473;76643
0000|1593100;599837
0000|1708734;598801
0000|1594973;517262
0000|1837595;522353
0000|1593110;517140
0000|1594181;517262
0000|1705928;522352
0000|1722688;522355
0000|1722568;522353
0000|1797890;599228
0000|1705926;522795
0000|1638649;517262
0000|1770183;517140
0000|1600328;517263
0000|1603433;522856
0000|1599470;522512
0000|1601463;517262
0000|1600286;522795
0000|1579667;522355
0000|1639148;517263
0000|1837589;522353
0000|1593043;517262
0000|1517017;522795
0000|1587636;517262
0000|1596046;517263
0000|1602254;599111
0000|1604440;517262
0000|1524033;517262
0000|1597214;517262
0000|1813261;517262
0000|1638644;522795
0000|1590478;500354
0000|1595394;517262
0000|1591985;517262
0000|1813950;522442
0000|1705923;517262
0000|1595125;517262
0000|1812318;517262
0000|1837596;517146
0000|1600171;517140
0000|1595868;522856
0000|1837593;522353
0000|1591887;522633
0000|1601428;517262
0000|1813263;522713
0000|1597327;522856
0000|1740576;517262
0000|1837594;522795
0000|1829807;599111
0000|1604698;517262
0000|1597131;599111
0000|1602385;599111
0000|1837590;522795
0000|1796430;598901
0000|1705924;599212
0000|1639144;800060
0000|1638646;522353
0000|1813262;517262
0000|1598830;517140
0000|1639143;522856
0000|1638648;599837
0000|1602285;599212
0000|1599482;522856
0000|1639149;522512
0000|1592476;599212
0000|1596125;599212
0000|1590473;522577
0000|1593100;599228
0000|1708734;522856
0000|1594973;517140
0000|1837595;522795
0000|1593110;517262
0000|1594181;522713
0000|1705928;598801
0000|1722688;517263
0000|1722568;522795
0000|1797890;517262
0000|1705926;522355
0000|1638649;599111
0000|1770183;599837
0000|1600328;599212
0000|1603433;517140
0000|1599470;522352
0000|1601463;522856
0000|1600286;522512
0000|1579667;522856
0000|1639148;599212
0000|1837589;522352
0000|1593043;599111
0000|1517017;517262
0000|1587636;598801
0000|1596046;517262
0000|1602254;517262
0000|1604440;599111
0000|1524033;517263
0000|1597214;599111
0000|1813261;599111
0000|1638644;523439
0000|1590478;509826
0000|1595394;599111
0000|1591985;522856
0000|1813950;522353
0000|1705923;522353
0000|1595125;522713
0000|1812318;800060
0000|1837596;523439
0000|1600171;517262
0000|1595868;517140
0000|1837593;522795
0000|1591887;800058
0000|1601428;517140
0000|1813263;522512
