id_cliente,marca_rec,sku,len_marca_rec,desc_rec,desc_giro,desc_subgiro,categoria_cliente_2,visitas_a_quitar,fecha_creacion,antiguedad,new_segment,dias_de_visita__c,periodo_de_visita__c,ultima_visita,cod_compania,cod_sucursal,cod_cliente,cod_modulo,cod_ruta,peso,marca_rec_rank
MX|0030|1508887,AGUA,522355,8,VIDA AGUA PET NO RETORNABLE 3000 ML 6,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,6,2016-03-18,old_client,BLINDAR,5,F1,2025-02-07,30.0,84,1508887.0,11585,1158,1,1
MX|0030|1513652,ENERGIZANTE,522713,8,VOLT UVA LATA 473 ML 12,FARMACIAS O BOTICAS,FARMACIAS / BOTICAS INDEPENDIENTES,Regular,8,2016-03-18,old_client,BLINDAR,5,F1,2025-02-07,30.0,84,1513652.0,11585,1158,1,1
MX|0030|1513791,ENERGIZANTE,599228,8,VOLT FRUTOS DEL BOSQUE LATA 473 ML 12,FARMACIAS O BOTICAS,FARMACIAS / BOTICAS INDEPENDIENTES,Regular,6,2016-03-18,old_client,MANTENER,5,F1,2025-02-07,30.0,84,1513791.0,11555,1155,1,1
MX|0030|1513791,AGUA,522795,8,VIDA AGUA PET NO RETORNABLE 1500 ML 12,FARMACIAS O BOTICAS,FARMACIAS / BOTICAS INDEPENDIENTES,Regular,6,2016-03-18,old_client,MANTENER,5,F1,2025-02-07,30.0,84,1513791.0,11555,1155,2,2
MX|0030|1515420,AGUA,522355,9,VIDA AGUA PET NO RETORNABLE 3000 ML 6,,"BODEGAS, TIENDAS",Irregular,2,2016-03-18,old_client,BLINDAR,5,F1,2025-02-07,30.0,84,1515420.0,11555,1155,1,1
MX|0030|1527760,AGUA,522355,9,VIDA AGUA PET NO RETORNABLE 3000 ML 6,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",Regular,2,2016-03-18,old_client,BLINDAR,5,F1,2025-02-07,30.0,84,1527760.0,11555,1155,1,1
MX|0030|1549701,AGUA,522355,7,VIDA AGUA PET NO RETORNABLE 3000 ML 6,,"BODEGAS, TIENDAS",Irregular,2,2016-03-22,old_client,DESARROLLAR,5,F1,2025-02-07,30.0,112,1549701.0,10655,1065,1,1
MX|0030|1549701,ENERGIZANTE,522512,7,VOLT PONCHE DE FRUTA LATA 473 ML 12,,"BODEGAS, TIENDAS",Irregular,2,2016-03-22,old_client,DESARROLLAR,5,F1,2025-02-07,30.0,112,1549701.0,10655,1065,1,2
MX|0030|1549701,JUGOS LIGEROS,598901,7,CIFRUT NARANJA MANDARINA Y LIMON PET NO RETORNABLE 3030 ML 6,,"BODEGAS, TIENDAS",Irregular,2,2016-03-22,old_client,DESARROLLAR,5,F1,2025-02-07,30.0,112,1549701.0,10655,1065,2,3
MX|0030|1549705,AGUA,522355,7,VIDA AGUA PET NO RETORNABLE 3000 ML 6,,"BODEGAS, TIENDAS",Irregular,2,2016-03-22,old_client,DESARROLLAR,5,F1,2025-02-07,30.0,112,1549705.0,10655,1065,1,1
MX|0030|1549705,ENERGIZANTE,522512,7,VOLT PONCHE DE FRUTA LATA 473 ML 12,,"BODEGAS, TIENDAS",Irregular,2,2016-03-22,old_client,DESARROLLAR,5,F1,2025-02-07,30.0,112,1549705.0,10655,1065,1,2
MX|0030|1549705,JUGOS LIGEROS,598901,7,CIFRUT NARANJA MANDARINA Y LIMON PET NO RETORNABLE 3030 ML 6,,"BODEGAS, TIENDAS",Irregular,2,2016-03-22,old_client,DESARROLLAR,5,F1,2025-02-07,30.0,112,1549705.0,10655,1065,2,3
