Pais,Compania,Sucursal,Cliente,Modulo,Producto,Cajas,Unidades,Fecha
MX,0030,84,1522079,11551,522576,1,0,2025-02-24
MX,0030,84,1522079,11551,516209,1,0,2025-02-24
MX,0030,112,1549584,10651,598801,1,0,2025-02-24
MX,0030,112,1549747,10651,599228,1,0,2025-02-24
MX,0030,112,1549747,10651,800060,1,0,2025-02-24
MX,0030,112,1551575,10651,800060,1,0,2025-02-24
MX,0030,112,1551576,10651,517263,1,0,2025-02-24
MX,0030,112,1551576,10651,598801,1,0,2025-02-24
MX,0030,112,1551576,10651,598901,1,0,2025-02-24
MX,0030,112,1551577,10651,517140,1,0,2025-02-24
MX,0030,112,1551591,10651,522713,1,0,2025-02-24
MX,0030,112,1554919,10651,599212,1,0,2025-02-24
MX,0030,112,1554919,10651,598801,1,0,2025-02-24
MX,0030,112,1554938,10651,522355,1,0,2025-02-24
MX,0030,112,1554944,10651,522713,1,0,2025-02-24
MX,0030,112,1557273,10651,598801,1,0,2025-02-24
MX,0030,112,1557278,10651,522352,1,0,2025-02-24
MX,0030,112,1557278,10651,599212,1,0,2025-02-24
MX,0030,112,1557278,10651,800060,1,0,2025-02-24
MX,0030,112,1557290,10651,517140,1,0,2025-02-24
MX,0030,112,1557297,10651,599228,1,0,2025-02-24
MX,0030,112,1557305,10651,599228,1,0,2025-02-24
MX,0030,112,1557305,10651,598801,1,0,2025-02-24
MX,0030,112,1557313,10651,517263,1,0,2025-02-24
MX,0030,112,1557316,10651,517140,1,0,2025-02-24
MX,0030,112,1557316,10651,598801,1,0,2025-02-24
MX,0030,112,1557316,10651,800060,1,0,2025-02-24
MX,0030,112,1557318,10651,522355,1,0,2025-02-24
MX,0030,112,1557427,10651,522355,1,0,2025-02-24
MX,0030,112,1557427,10651,517146,1,0,2025-02-24
MX,0030,112,1557430,10651,800060,1,0,2025-02-24
MX,0030,112,1557434,10651,598901,1,0,2025-02-24
MX,0030,112,1557570,10741,522713,1,0,2025-02-24
MX,0030,112,1557570,10741,522632,1,0,2025-02-24
MX,0030,112,1557572,10741,522355,1,0,2025-02-24
MX,0030,112,1557572,10741,800054,1,0,2025-02-24
MX,0030,112,1557573,10741,517140,1,0,2025-02-24
MX,0030,112,1557576,10741,517262,1,0,2025-02-24
MX,0030,112,1557581,10741,517262,1,0,2025-02-24
MX,0030,112,1557581,10741,522632,1,0,2025-02-24
MX,0030,112,1557583,10741,522355,1,0,2025-02-24
MX,0030,112,1557583,10741,517262,1,0,2025-02-24
MX,0030,112,1557583,10741,522442,1,0,2025-02-24
MX,0030,112,1557583,10741,800054,1,0,2025-02-24
MX,0030,112,1557984,10741,522355,1,0,2025-02-24
MX,0030,112,1557984,10741,522512,1,0,2025-02-24
MX,0030,112,1557984,10741,598901,1,0,2025-02-24
MX,0030,112,1557987,10741,522713,1,0,2025-02-24
MX,0030,112,1557987,10741,522632,1,0,2025-02-24
MX,0030,112,1557988,10741,522713,1,0,2025-02-24
MX,0030,112,1557988,10741,800054,1,0,2025-02-24
MX,0030,112,1558175,10741,522354,1,0,2025-02-24
MX,0030,112,1558175,10741,517262,1,0,2025-02-24
MX,0030,112,1558175,10741,522442,1,0,2025-02-24
MX,0030,112,1558175,10741,800054,1,0,2025-02-24
MX,0030,112,1562075,10741,522355,1,0,2025-02-24
MX,0030,112,1562454,10741,517263,1,0,2025-02-24
MX,0030,112,1562457,10741,517140,1,0,2025-02-24
MX,0030,112,1562458,10741,517263,1,0,2025-02-24
MX,0030,112,1562458,10741,800054,1,0,2025-02-24
MX,0030,112,1562471,10741,522355,1,0,2025-02-24
MX,0030,112,1562471,10741,517262,1,0,2025-02-24
MX,0030,112,1562471,10741,800058,1,0,2025-02-24
MX,0030,112,1562483,10741,517263,1,0,2025-02-24
MX,0030,112,1562488,10741,522713,1,0,2025-02-24
MX,0030,112,1562493,10741,522632,1,0,2025-02-24
MX,0030,112,1562657,10741,522632,1,0,2025-02-24
MX,0030,112,1562657,10741,800054,1,0,2025-02-24
MX,0030,112,1562669,10741,522512,1,0,2025-02-24
MX,0030,112,1562669,10741,522632,1,0,2025-02-24
MX,0030,112,1562670,10741,522512,1,0,2025-02-24
MX,0030,112,1562672,10741,800060,1,0,2025-02-24
MX,0030,112,1562672,10741,522632,1,0,2025-02-24
MX,0030,112,1562675,10741,800060,1,0,2025-02-24
MX,0030,112,1562677,10741,522713,1,0,2025-02-24
MX,0030,112,1562679,10741,522632,1,0,2025-02-24
MX,0030,112,1562684,10741,517262,1,0,2025-02-24
MX,0030,112,1562687,10741,517262,1,0,2025-02-24
MX,0030,112,1562687,10741,522442,1,0,2025-02-24
MX,0030,112,1562687,10741,800060,1,0,2025-02-24
MX,0030,112,1563305,10741,517263,1,0,2025-02-24
MX,0030,112,1563305,10741,500264,1,0,2025-02-24
MX,0030,112,1563305,10741,800054,1,0,2025-02-24
MX,0030,112,1563317,10741,517262,1,0,2025-02-24
MX,0030,112,1563323,10741,522633,1,0,2025-02-24
MX,0030,112,1563323,10741,800054,1,0,2025-02-24
MX,0030,112,1563324,10741,517262,1,0,2025-02-24
MX,0030,112,1563324,10741,598901,1,0,2025-02-24
MX,0030,112,1563324,10741,522632,1,0,2025-02-24
MX,0030,112,1563330,10741,522713,1,0,2025-02-24
MX,0030,112,1563330,10741,800060,1,0,2025-02-24
MX,0030,112,1563330,10741,800054,1,0,2025-02-24
MX,0030,112,1590573,10651,517146,1,0,2025-02-24
MX,0030,84,1591665,11551,522355,1,0,2025-02-24
MX,0030,84,1591718,11581,517263,1,0,2025-02-24
MX,0030,84,1591718,11581,599590,1,0,2025-02-24
MX,0030,84,1591722,11581,517263,1,0,2025-02-24
MX,0030,84,1591722,11581,515614,1,0,2025-02-24
MX,0030,84,1591726,11581,599228,1,0,2025-02-24
MX,0030,84,1591726,11581,599590,1,0,2025-02-24
MX,0030,84,1592094,11581,522355,1,0,2025-02-24
MX,0030,84,1592094,11581,516209,1,0,2025-02-24
MX,0030,84,1592216,11551,522512,1,0,2025-02-24
MX,0030,84,1592216,11551,515614,1,0,2025-02-24
MX,0030,84,1592223,11581,517146,1,0,2025-02-24
MX,0030,84,1592223,11581,599587,1,0,2025-02-24
MX,0030,84,1592223,11581,800060,1,0,2025-02-24
MX,0030,84,1592223,11581,800058,1,0,2025-02-24
MX,0030,84,1592348,11581,522512,1,0,2025-02-24
MX,0030,84,1592348,11581,599590,1,0,2025-02-24
MX,0030,84,1592449,11581,522355,1,0,2025-02-24
MX,0030,84,1592449,11581,522512,1,0,2025-02-24
MX,0030,84,1592449,11581,522632,1,0,2025-02-24
MX,0030,84,1592451,11581,522512,1,0,2025-02-24
MX,0030,84,1592451,11581,599590,1,0,2025-02-24
MX,0030,84,1592451,11581,800060,1,0,2025-02-24
MX,0030,84,1592451,11581,522632,1,0,2025-02-24
MX,0030,84,1593128,11581,599228,1,0,2025-02-24
MX,0030,84,1593128,11581,800060,1,0,2025-02-24
MX,0030,84,1593128,11581,800058,1,0,2025-02-24
MX,0030,84,1593846,11581,522713,1,0,2025-02-24
MX,0030,84,1593846,11581,800058,1,0,2025-02-24
MX,0030,84,1594381,11551,522795,1,0,2025-02-24
MX,0030,84,1595256,11551,599212,1,0,2025-02-24
MX,0030,84,1596020,11551,522512,1,0,2025-02-24
MX,0030,84,1596154,11551,598901,1,0,2025-02-24
MX,0030,84,1597390,11551,522795,1,0,2025-02-24
MX,0030,84,1597390,11551,522576,1,0,2025-02-24
MX,0030,84,1597882,11551,517140,1,0,2025-02-24
MX,0030,84,1598411,11581,522355,1,0,2025-02-24
MX,0030,84,1598411,11581,522713,1,0,2025-02-24
MX,0030,84,1598411,11581,599590,1,0,2025-02-24
MX,0030,84,1598453,11581,522355,1,0,2025-02-24
MX,0030,84,1598453,11581,522713,1,0,2025-02-24
MX,0030,84,1598453,11581,598801,1,0,2025-02-24
MX,0030,84,1598543,11551,522795,1,0,2025-02-24
MX,0030,84,1598543,11551,599228,1,0,2025-02-24
MX,0030,84,1598659,11551,522355,1,0,2025-02-24
MX,0030,84,1598659,11551,599212,1,0,2025-02-24
