id_cliente,id_sucursal,id_producto,fecha_liquidacion,cod_zona,cant_cajafisicavta,cant_cajaunitvta,imp_netovta,cod_compania,desc_compania,desc_sucursal,cod_pais,fecha_creacion_cliente,cod_cliente,desc_marca,desc_formato,desc_categoria,cod_giro,cod_subgiro,desc_giro,desc_subgiro,fecha_proceso,cod_articulo_magic,dias_de_visita__c,periodo_de_visita__c,ultima_visita,new_segment,cod_ruta,cod_modulo,cod_sucursal,desc_articulo,mes
MX|0030|1588851,MX|0030|112,MX|0030|522713,2025-08-19,1165,1.0,0.1892,143.6828,0030,AJEMEX,TULTITLAN 2,MX,20161031.0,1588851,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,522713,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT UVA LATA 473 ML 12,2025-08-01
MX|0030|1547125,MX|0030|112,MX|0030|517262,2025-03-31,1165,3.0,0.7095,475.8905,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1547125,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,517262,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT MORA REGULAR LATA 473 ML 15,2025-03-01
MX|0030|1588851,MX|0030|112,MX|0030|599212,2025-03-19,1165,1.0,0.24,112.2953,0030,AJEMEX,TULTITLAN 2,MX,20161031.0,1588851,VOLT,0.6,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,599212,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT BLUEBERRY PET NO RETORNABLE 600 ML 12,2025-03-01
MX|0030|1588851,MX|0030|113,MX|0030|599212,2025-05-27,1165,1.0,0.24,112.2953,0030,AJEMEX,ECATEPEC 2,MX,20161031.0,1588851,VOLT,0.6,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,599212,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT BLUEBERRY PET NO RETORNABLE 600 ML 12,2025-05-01
MX|0030|1588851,MX|0030|112,MX|0030|522512,2025-03-31,1165,1.0,0.1892,126.4361,0030,AJEMEX,TULTITLAN 2,MX,20161031.0,1588851,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,522512,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT PONCHE DE FRUTA LATA 473 ML 12,2025-03-01
MX|0030|1547125,MX|0030|112,MX|0030|523538,2025-02-11,1165,1.0,0.2,63.0594,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1547125,PULP,1.0,JUGOS LIGEROS,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,523538,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,PULP MANGO PET NO RETORNABLE 1000 ML 6,2025-02-01
MX|0030|1547125,MX|0030|112,MX|0030|509826,2025-12-12,1165,1.0,0.25,110.0,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1547125,CIFRUT,0.625,JUGOS LIGEROS,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,509826,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,CIFRUT .625ML NARANJA MANDARINA LIMON PET NO RETORNABLE 12PACK,2025-12-01
MX|0030|1547125,MX|0030|112,MX|0030|517140,2025-02-11,1165,3.0,0.7095,504.524,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1547125,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,517140,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT GUARANA REGULAR LATA 473 ML 15,2025-02-01
MX|0030|1588850,MX|0030|112,MX|0030|523439,2025-02-21,1165,1.0,0.15,45.0027,0030,AJEMEX,TULTITLAN 2,MX,20161031.0,1588850,CIFRUT,0.3,JUGOS LIGEROS,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,523439,3,F1,2026-02-18,DESARROLLAR,1065,10653,112,"CIFRUT NARANJA, MANDARINA Y LIMON PET NO RETORNABLE 300 ML 15",2025-02-01
MX|0030|1631547,MX|0030|112,MX|0030|522713,2025-02-17,1165,2.0,0.3784,251.287,0030,AJEMEX,TULTITLAN 2,MX,20170603.0,1631547,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,522713,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT UVA LATA 473 ML 12,2025-02-01
MX|0030|1547125,MX|0030|112,MX|0030|517262,2025-02-18,1165,3.0,0.7095,476.124,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1547125,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,517262,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT MORA REGULAR LATA 473 ML 15,2025-02-01
MX|0030|1631547,MX|0030|112,MX|0030|517262,2025-11-07,1165,4.0,0.946,746.3837,0030,AJEMEX,TULTITLAN 2,MX,20170603.0,1631547,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,517262,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT MORA REGULAR LATA 473 ML 15,2025-11-01
MX|0030|1588850,MX|0030|112,MX|0030|517262,2025-02-18,1165,2.0,0.473,317.416,0030,AJEMEX,TULTITLAN 2,MX,20161031.0,1588850,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,517262,3,F1,2026-02-18,DESARROLLAR,1065,10653,112,VOLT MORA REGULAR LATA 473 ML 15,2025-02-01
MX|0030|1547125,MX|0030|112,MX|0030|517140,2025-06-13,1165,3.0,0.7095,501.5005,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1547125,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,517140,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT GUARANA REGULAR LATA 473 ML 15,2025-06-01
MX|0030|1547125,MX|0030|112,MX|0030|517262,2025-08-29,1165,4.0,0.946,746.3837,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1547125,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,517262,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT MORA REGULAR LATA 473 ML 15,2025-08-01
MX|0030|1631547,MX|0030|112,MX|0030|522512,2025-02-17,1165,2.0,0.3784,233.4731,0030,AJEMEX,TULTITLAN 2,MX,20170603.0,1631547,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,522512,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT PONCHE DE FRUTA LATA 473 ML 12,2025-02-01
MX|0030|1588849,MX|0030|112,MX|0030|517140,2025-04-04,1165,154.0,36.421,24429.267,0030,AJEMEX,TULTITLAN 2,MX,20161031.0,1588849,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,517140,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT GUARANA REGULAR LATA 473 ML 15,2025-04-01
MX|0030|1588851,MX|0030|112,MX|0030|517262,2025-12-12,1165,2.0,0.473,350.8084,0030,AJEMEX,TULTITLAN 2,MX,20161031.0,1588851,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,517262,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT MORA REGULAR LATA 473 ML 15,2025-12-01
MX|0030|1588851,MX|0030|112,MX|0030|599218,2025-05-22,1165,2.0,0.48,182.6762,0030,AJEMEX,TULTITLAN 2,MX,20161031.0,1588851,VOLT,0.6,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,599218,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT GUARANA PET NO RETORNABLE 600 ML 12,2025-05-01
MX|0030|1631547,MX|0030|112,MX|0030|522512,2025-04-16,1165,2.0,0.3784,252.8622,0030,AJEMEX,TULTITLAN 2,MX,20170603.0,1631547,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,522512,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT PONCHE DE FRUTA LATA 473 ML 12,2025-04-01
MX|0030|1588851,MX|0030|113,MX|0030|522512,2025-05-27,1165,1.0,0.1892,132.65,0030,AJEMEX,ECATEPEC 2,MX,20161031.0,1588851,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,522512,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT PONCHE DE FRUTA LATA 473 ML 12,2025-05-01
MX|0030|1547125,MX|0030|112,MX|0030|500354,2025-06-06,1165,1.0,0.3644,103.0558,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1547125,BIG,0.911,GASEOSAS,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,500354,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,BIG COLA 0.911ml PET NO RETORNABLE 12 PACK,2025-06-01
MX|0030|1547125,MX|0030|112,MX|0030|508593,2025-12-12,1165,3.0,1.8,141.0,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1547125,AJE AQUA,1.5,AGUA,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,508593,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,AJE AQUA AGUA SIN GAS PET NO RETORNABLE 1500 ML 12 PACK,2025-12-01
MX|0030|1632748,MX|0030|112,MX|0030|522795,2025-06-06,1165,2.0,1.2,169.2,0030,AJEMEX,TULTITLAN 2,MX,20170717.0,1632748,VIDA,1.5,AGUA,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,522795,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VIDA AGUA PET NO RETORNABLE 1500 ML 12,2025-06-01
MX|0030|1547125,MX|0030|112,MX|0030|517140,2025-08-29,1165,3.0,0.7095,559.7852,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1547125,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,517140,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT GUARANA REGULAR LATA 473 ML 15,2025-08-01
MX|0030|1547125,MX|0030|112,MX|0030|517140,2025-09-25,1165,3.0,0.7095,549.4544,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1547125,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,517140,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT GUARANA REGULAR LATA 473 ML 15,2025-09-01
MX|0030|1548408,MX|0030|112,MX|0030|800060,2025-07-11,1165,2.0,0.003333333333,50.0,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1548408,D GUSSTO,0.05,CAFE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,800060,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,D GUSSTO CAFE SUPREMO VIDRIO NO RETORNABLE 50 GRS 1,2025-07-01
MX|0030|1588851,MX|0030|112,MX|0030|522713,2025-03-07,1165,2.0,0.3784,233.4731,0030,AJEMEX,TULTITLAN 2,MX,20161031.0,1588851,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,522713,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT UVA LATA 473 ML 12,2025-03-01
MX|0030|1547125,MX|0030|112,MX|0030|523519,2025-06-06,1165,1.0,0.18,123.0165,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1547125,PULP,0.45,NECTAR,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,523519,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,PULP MANGO PET NO RETORNABLE 450 ML 12,2025-06-01
MX|0030|1547125,MX|0030|112,MX|0030|523278,2025-07-21,1165,1.0,0.15,48.8988,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1547125,CIFRUT,0.3,JUGOS LIGEROS,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,523278,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,CIFRUT MORA PET NO RETORNABLE 300 ML 15,2025-07-01
MX|0030|1632748,MX|0030|112,MX|0030|522795,2025-04-16,1165,3.0,1.8,216.0,0030,AJEMEX,TULTITLAN 2,MX,20170717.0,1632748,VIDA,1.5,AGUA,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,522795,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VIDA AGUA PET NO RETORNABLE 1500 ML 12,2025-04-01
MX|0030|1588850,MX|0030|112,MX|0030|522632,2025-02-18,1165,1.0,0.2,63.0594,0030,AJEMEX,TULTITLAN 2,MX,20161031.0,1588850,PULP,1.0,NECTAR,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,522632,3,F1,2026-02-18,DESARROLLAR,1065,10653,112,PULP DURAZNO PET NO RETORNABLE 1000 ML 6,2025-02-01
MX|0030|1588851,MX|0030|112,MX|0030|522512,2025-10-31,1165,1.0,0.1892,131.1784,0030,AJEMEX,TULTITLAN 2,MX,20161031.0,1588851,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,522512,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT PONCHE DE FRUTA LATA 473 ML 12,2025-10-01
MX|0030|1547125,MX|0030|112,MX|0030|508593,2025-10-31,1165,2.0,1.2,94.0,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1547125,AJE AQUA,1.5,AGUA,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,508593,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,AJE AQUA AGUA SIN GAS PET NO RETORNABLE 1500 ML 12 PACK,2025-10-01
MX|0030|1631547,MX|0030|112,MX|0030|599587,2025-03-24,1165,2.0,0.4,116.0325,0030,AJEMEX,TULTITLAN 2,MX,20170603.0,1631547,SPORADE,1.0,BEBIDAS DEPORTIVAS,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,599587,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,SPORADE MORA PET NO RETORNABLE 1000 ML 6,2025-03-01
MX|0030|1632686,MX|0030|112,MX|0030|517140,2025-02-21,1165,1.0,0.2365,158.708,0030,AJEMEX,TULTITLAN 2,MX,20170713.0,1632686,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,517140,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT GUARANA REGULAR LATA 473 ML 15,2025-02-01
MX|0030|1632686,MX|0030|112,MX|0030|517140,2025-02-21,1165,1.0,0.2365,158.708,0030,AJEMEX,TULTITLAN 2,MX,20170713.0,1632686,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,517140,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT GUARANA REGULAR LATA 473 ML 15,2025-02-01
MX|0030|1588851,MX|0030|112,MX|0030|517140,2025-03-19,1165,1.0,0.2365,177.638,0030,AJEMEX,TULTITLAN 2,MX,20161031.0,1588851,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,517140,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT GUARANA REGULAR LATA 473 ML 15,2025-03-01
MX|0030|1632686,MX|0030|112,MX|0030|523439,2025-03-19,1165,1.0,0.15,55.8,0030,AJEMEX,TULTITLAN 2,MX,20170713.0,1632686,CIFRUT,0.3,JUGOS LIGEROS,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,523439,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,"CIFRUT NARANJA, MANDARINA Y LIMON PET NO RETORNABLE 300 ML 15",2025-03-01
MX|0030|1547125,MX|0030|112,MX|0030|517262,2025-09-19,1165,4.0,0.946,746.3837,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1547125,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20260224,517262,3,F1,2026-02-18,OPTIMIZAR,1065,10653,112,VOLT MORA REGULAR LATA 473 ML 15,2025-09-01
