id_cliente;cod_articulo_magic
0030|1783386;517262
0030|1551548;517140
0030|1549701;517262
0030|1551539;522442
0030|1549711;517262
0030|1551304;598901
0030|1627664;517263
0030|1549943;522353
0030|1549718;517140
0030|1796574;522713
0030|1549952;598901
0030|1549735;517140
0030|1550083;517262
0030|1705570;598901
0030|1549722;599837
0030|1625338;800060
0030|1551546;517263
0030|1628873;800060
0030|1550076;598901
0030|1549729;522353
0030|1551314;599837
0030|1551544;517262
0030|1551554;598801
0030|1549730;517140
0030|1551545;517140
0030|1551550;800060
0030|1590572;522354
0030|1549984;522353
0030|1549727;517262
0030|1551557;517262
0030|1551337;598901
0030|1549705;517262
0030|1783386;800060
0030|1551548;517262
0030|1549701;800060
0030|1551539;599876
0030|1549711;800060
0030|1551304;517262
0030|1627664;800054
0030|1549943;598901
0030|1549718;800060
0030|1796574;517297
0030|1549952;517262
0030|1549735;517262
0030|1550083;800060
0030|1705570;800054
0030|1549722;599876
0030|1625338;522856
0030|1551546;522512
0030|1628873;517262
0030|1550076;500354
0030|1549729;522355
0030|1551314;517262
0030|1551544;800060
0030|1551554;516209
0030|1549730;522856
0030|1551545;517262
0030|1551550;517262
0030|1590572;522352
0030|1549984;599837
0030|1549727;500354
0030|1551557;800060
0030|1551337;500354
0030|1549705;800060
0030|1783386;517140
0030|1551548;800060
0030|1549701;517140
0030|1551539;517146
0030|1549711;517140
0030|1551304;517140
0030|1627664;800058
0030|1549943;800058
0030|1549718;517262
0030|1796574;522512
0030|1549952;523463
0030|1549735;800060
0030|1550083;517140
0030|1705570;800058
0030|1549722;522442
0030|1625338;517262
0030|1551546;599228
0030|1628873;517140
0030|1550076;599212
0030|1549729;500330
0030|1551314;599876
0030|1551544;522713
0030|1551554;522355
0030|1549730;517262
0030|1551545;800060
0030|1551550;517140
0030|1590572;523438
0030|1549984;522355
0030|1549727;517140
0030|1551557;517140
0030|1551337;517262
0030|1549705;517140
0030|1783386;522713
0030|1551548;522856
0030|1549701;517263
0030|1551539;517262
0030|1549711;517263
0030|1551304;523439
0030|1627664;800060
0030|1549943;800054
0030|1549718;517263
0030|1796574;599837
0030|1549952;517140
0030|1549735;522856
0030|1550083;517263
0030|1705570;599212
0030|1549722;517262
0030|1625338;522713
0030|1551546;800060
0030|1628873;522713
0030|1550076;523463
0030|1549729;599212
