id_cliente,id_sucursal,id_producto,fecha_liquidacion,cod_zona,cant_cajafisicavta,cant_cajaunitvta,imp_netovta,cod_compania,desc_compania,desc_sucursal,cod_pais,fecha_creacion_cliente,cod_cliente,desc_marca,desc_formato,desc_categoria,cod_giro,cod_subgiro,desc_giro,desc_subgiro,fecha_proceso,cod_articulo_magic,dias_de_visita__c,periodo_de_visita__c,ultima_visita,cod_ruta,cod_modulo,cod_sucursal,desc_articulo,new_segment,mes
MX|0030|1551545,MX|0030|112,MX|0030|517262,2024-07-30,1165,1.0,0.2365,167.2846,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1551545,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20250717,517262,5,F1,2025-07-11,1065,10655,112,VOLT MORA REGULAR LATA 473 ML 15,BLINDAR,2024-07-01
MX|0030|1551545,MX|0030|112,MX|0030|500354,2024-10-14,1165,1.0,0.3644,117.2763,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1551545,BIG,0.911,GASEOSAS,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20250717,500354,5,F1,2025-07-11,1065,10655,112,BIG COLA 0.911ml PET NO RETORNABLE 12 PACK,BLINDAR,2024-10-01
MX|0030|1551545,MX|0030|112,MX|0030|517262,2024-08-28,1165,1.0,0.2365,167.2846,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1551545,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20250717,517262,5,F1,2025-07-11,1065,10655,112,VOLT MORA REGULAR LATA 473 ML 15,BLINDAR,2024-08-01
MX|0030|1551545,MX|0030|112,MX|0030|522856,2024-08-07,1165,1.0,0.2365,167.2846,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1551545,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20250717,522856,5,F1,2025-07-11,1065,10655,112,VOLT GUARANA LATA 473 ML 15,BLINDAR,2024-08-01
MX|0030|1551545,MX|0030|112,MX|0030|517262,2024-10-14,1165,1.0,0.2365,187.1146,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1551545,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20250717,517262,5,F1,2025-07-11,1065,10655,112,VOLT MORA REGULAR LATA 473 ML 15,BLINDAR,2024-10-01
MX|0030|1551545,MX|0030|112,MX|0030|500354,2025-01-23,1165,1.0,0.3644,116.4958,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1551545,BIG,0.911,GASEOSAS,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20250717,500354,5,F1,2025-07-11,1065,10655,112,BIG COLA 0.911ml PET NO RETORNABLE 12 PACK,BLINDAR,2025-01-01
MX|0030|1551545,MX|0030|112,MX|0030|500354,2024-09-20,1165,1.0,0.3644,117.2763,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1551545,BIG,0.911,GASEOSAS,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20250717,500354,5,F1,2025-07-11,1065,10655,112,BIG COLA 0.911ml PET NO RETORNABLE 12 PACK,BLINDAR,2024-09-01
MX|0030|1551545,MX|0030|112,MX|0030|517262,2025-01-27,1165,1.0,0.2365,186.608,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1551545,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20250717,517262,5,F1,2025-07-11,1065,10655,112,VOLT MORA REGULAR LATA 473 ML 15,BLINDAR,2025-01-01
MX|0030|1551545,MX|0030|112,MX|0030|517262,2024-11-25,1165,1.0,0.2365,167.2846,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1551545,VOLT,0.473,ENERGIZANTE,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20250717,517262,5,F1,2025-07-11,1065,10655,112,VOLT MORA REGULAR LATA 473 ML 15,BLINDAR,2024-11-01
MX|0030|1551545,MX|0030|112,MX|0030|500354,2025-07-16,1165,2.0,0.7288,232.9915,0030,AJEMEX,TULTITLAN 2,MX,20160322.0,1551545,BIG,0.911,GASEOSAS,150,151,BODEGA Y PARTICULARES,"BODEGAS, TIENDAS",20250717,500354,5,F1,2025-07-11,1065,10655,112,BIG COLA 0.911ml PET NO RETORNABLE 12 PACK,BLINDAR,2025-07-01
