Pais,Compania,Sucursal,Cliente,Modulo,Producto,Cajas,Unidades,Fecha,tipoRecomendacion,ultFecha,Destacar
BO,0150,02,70699,21016,524441,1,0,4/4/2026,PE1,,true
BO,0150,02,70699,21016,524621,1,0,4/4/2026,PE2,,true
BO,0150,02,70699,21016,522273,1,0,4/4/2026,PE3,,true
BO,0150,02,71238,21084,524441,1,0,4/4/2026,PE1,,true
BO,0150,02,71238,21084,524621,1,0,4/4/2026,PE2,,true
BO,0150,02,71238,21084,522273,1,0,4/4/2026,PE3,,true
BO,0150,02,72611,21033,524441,1,0,4/4/2026,PE1,,true
BO,0150,02,72611,21033,524621,1,0,4/4/2026,PE2,,true
BO,0150,02,72611,21033,522273,1,0,4/4/2026,PE3,,true
BO,0150,02,72614,21083,524441,1,0,4/4/2026,PE1,,true
BO,0150,02,72614,21083,524621,1,0,4/4/2026,PE2,,true
BO,0150,02,72614,21083,522273,1,0,4/4/2026,PE3,,true
BO,0150,02,72696,21061,524441,1,0,4/4/2026,PE1,,true
BO,0150,02,72696,21061,524621,1,0,4/4/2026,PE2,,true
BO,0150,02,72696,21061,522273,1,0,4/4/2026,PE3,,true
BO,0150,02,75331,21066,524441,1,0,4/4/2026,PE1,,true
BO,0150,02,75331,21066,524621,1,0,4/4/2026,PE2,,true
BO,0150,02,75331,21066,522273,1,0,4/4/2026,PE3,,true
BO,0150,02,75853,21066,524441,1,0,4/4/2026,PE1,,true
BO,0150,02,75853,21066,524621,1,0,4/4/2026,PE2,,true
BO,0150,02,75853,21066,522273,1,0,4/4/2026,PE3,,true
BO,0150,02,88896,21074,524441,1,0,4/4/2026,PE1,,true
BO,0150,02,88896,21074,524621,1,0,4/4/2026,PE2,,true
BO,0150,02,88896,21074,522273,1,0,4/4/2026,PE3,,true
BO,0150,02,89002,21063,524441,1,0,4/4/2026,PE1,,true
BO,0150,02,89002,21063,524621,1,0,4/4/2026,PE2,,true
BO,0150,02,89002,21063,522273,1,0,4/4/2026,PE3,,true
BO,0150,02,89004,21063,524441,1,0,4/4/2026,PE1,,true
BO,0150,02,89004,21063,524621,1,0,4/4/2026,PE2,,true
BO,0150,02,89004,21063,522273,1,0,4/4/2026,PE3,,true
BO,0150,02,89048,21036,524441,1,0,4/4/2026,PE1,,true
BO,0150,02,89048,21036,524621,1,0,4/4/2026,PE2,,true
BO,0150,02,89048,21036,522273,1,0,4/4/2026,PE3,,true
BO,0150,02,89057,21016,524441,1,0,4/4/2026,PE1,,true
BO,0150,02,89057,21016,524621,1,0,4/4/2026,PE2,,true
BO,0150,02,89057,21016,522273,1,0,4/4/2026,PE3,,true
BO,0150,02,89582,21011,524441,1,0,4/4/2026,PE1,,true
BO,0150,02,89582,21011,524621,1,0,4/4/2026,PE2,,true
BO,0150,02,89582,21011,522273,1,0,4/4/2026,PE3,,true
BO,0150,02,89895,21032,524441,1,0,4/4/2026,PE1,,true
BO,0150,02,89895,21032,524621,1,0,4/4/2026,PE2,,true
BO,0150,02,89895,21032,522273,1,0,4/4/2026,PE3,,true
BO,0150,02,89966,21046,524441,1,0,4/4/2026,PE1,,true
BO,0150,02,89966,21046,524621,1,0,4/4/2026,PE2,,true
BO,0150,02,89966,21046,522273,1,0,4/4/2026,PE3,,true
BO,0150,02,90164,21063,524441,1,0,4/4/2026,PE1,,true
BO,0150,02,90164,21063,524621,1,0,4/4/2026,PE2,,true
