Pais,Compania,Sucursal,Cliente,Modulo,Producto,Cajas,Unidades,Fecha,tipoRecomendacion,ultFecha,Destacar
EC,0090,07,205355,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,82400,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,255445,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,84657,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,84630,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,84596,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,84594,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,84500,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,126997,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,183148,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,141615,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,242097,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,241497,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,241140,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,238832,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,214660,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,305013,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,254225,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,329023,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,321470,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,306397,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,306016,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,358839,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,346557,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,338106,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,334972,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,334412,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,333993,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,374022,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,373634,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,365882,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,364599,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,364598,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,360768,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,377304,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,382522,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,382072,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,379251,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,389949,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,387236,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,387199,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,384758,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,414690,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,415654,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,83405,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,82388,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,84498,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,85296,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,420366,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,419785,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,85933,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,85488,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,421617,330,524670,1,0,2026-06-18,PE1,,true
EC,0090,07,431313,330,524670,1,0,2026-06-18,PE1,,true
